continent,airport,totalFlights,totalPages,page_per_day,page_per_day_cum_sum
Europe,JMK,686.0,10.0,0.06666666666666667,91.20666666666668
Europe,VAA,659.0,8.0,0.05333333333333334,91.26
Europe,CHQ,631.0,10.0,0.06666666666666667,91.32666666666667
Europe,BHD,610.0,8.0,0.05333333333333334,91.38
Europe,WRO,610.0,8.0,0.05333333333333334,91.43333333333332
Europe,POZ,609.0,8.0,0.05333333333333334,91.48666666666665
Europe,OUL,602.0,7.0,0.04666666666666667,91.53333333333332
Europe,FUE,589.0,10.0,0.06666666666666667,91.59999999999998
Europe,LDY,576.0,7.0,0.04666666666666667,91.64666666666665
Europe,OSD,573.0,6.0,0.04,91.68666666666665
Europe,CAG,529.0,8.0,0.05333333333333334,91.73999999999998
Europe,PVK,513.0,8.0,0.05333333333333334,91.79333333333331
Europe,TKU,511.0,6.0,0.04,91.83333333333331
Europe,RDZ,478.0,6.0,0.04,91.87333333333332
Europe,LPL,462.0,6.0,0.04,91.91333333333333
Europe,TIV,444.0,6.0,0.04,91.95333333333333
Europe,TMP,434.0,5.0,0.03333333333333333,91.98666666666666
Europe,SMI,420.0,6.0,0.04,92.02666666666667
Europe,LIG,412.0,6.0,0.04,92.06666666666668
Europe,RVN,398.0,5.0,0.03333333333333333,92.10000000000001
Europe,SCV,382.0,5.0,0.03333333333333333,92.13333333333334
Europe,SDL,371.0,4.0,0.02666666666666667,92.16000000000001
Europe,KUO,366.0,5.0,0.03333333333333333,92.19333333333334
Europe,CRL,347.0,4.0,0.02666666666666667,92.22000000000001
Europe,SEN,346.0,4.0,0.02666666666666667,92.24666666666668
Europe,STN,333.0,4.0,0.02666666666666667,92.27333333333335
Europe,OVD,332.0,6.0,0.04,92.31333333333336
Europe,OMR,323.0,4.0,0.02666666666666667,92.34000000000003
Europe,SNN,314.0,6.0,0.04,92.38000000000004
Europe,EXT,306.0,4.0,0.02666666666666667,92.40666666666671
Europe,SJJ,306.0,4.0,0.02666666666666667,92.43333333333338
Europe,IOM,300.0,4.0,0.02666666666666667,92.46000000000005
Europe,KTT,281.0,4.0,0.02666666666666667,92.48666666666672
Europe,GRO,281.0,4.0,0.02666666666666667,92.51333333333339
Europe,KLX,274.0,4.0,0.02666666666666667,92.54000000000006
Europe,SCQ,266.0,4.0,0.02666666666666667,92.56666666666673
Europe,PDL,253.0,4.0,0.02666666666666667,92.5933333333334
Europe,BOJ,252.0,4.0,0.02666666666666667,92.62000000000008
Europe,EFL,251.0,8.0,0.05333333333333334,92.6733333333334
Europe,MJT,249.0,4.0,0.02666666666666667,92.70000000000007
Europe,SVO,236.0,7.0,0.04666666666666667,92.74666666666674
Europe,TAY,214.0,3.0,0.02,92.76666666666674
Europe,AOK,213.0,4.0,0.02666666666666667,92.79333333333341
Europe,OHD,179.0,4.0,0.02666666666666667,92.82000000000008
Europe,GRX,174.0,2.0,0.013333333333333334,92.83333333333341
Europe,KAO,126.0,2.0,0.013333333333333334,92.84666666666675
Europe,LED,92.0,2.0,0.013333333333333334,92.86000000000008
Europe,SZG,88.0,2.0,0.013333333333333334,92.87333333333342
Europe,KUF,87.0,2.0,0.013333333333333334,92.88666666666676
Europe,INN,86.0,2.0,0.013333333333333334,92.90000000000009
Europe,AOI,86.0,2.0,0.013333333333333334,92.91333333333343
Europe,REU,86.0,2.0,0.013333333333333334,92.92666666666676
Europe,JER,85.0,2.0,0.013333333333333334,92.9400000000001
Europe,PRN,78.0,2.0,0.013333333333333334,92.95333333333343
Europe,JSI,56.0,3.0,0.02,92.97333333333343
Europe,VOG,51.0,2.0,0.013333333333333334,92.98666666666676
Europe,SUJ,46.0,1.0,0.006666666666666667,92.99333333333342
Europe,SPC,44.0,2.0,0.013333333333333334,93.00666666666676
Europe,PUY,42.0,2.0,0.013333333333333334,93.0200000000001
Europe,QSR,42.0,2.0,0.013333333333333334,93.03333333333343
Europe,VOL,41.0,2.0,0.013333333333333334,93.04666666666677
Europe,AEY,22.0,2.0,0.013333333333333334,93.0600000000001
Europe,MST,21.0,1.0,0.006666666666666667,93.06666666666676
Europe,OVB,16.0,1.0,0.006666666666666667,93.07333333333342
Europe,AER,16.0,1.0,0.006666666666666667,93.08000000000008
Europe,LIL,2.0,2.0,0.013333333333333334,93.09333333333342
Europe,CGN,1.0,1.0,0.006666666666666667,93.10000000000008
Europe,EMA,1.0,1.0,0.006666666666666667,93.10666666666674
Europe,PXO,0,0,0.0,93.10666666666674
Europe,EIN,0,0,0.0,93.10666666666674
Europe,SDR,0,0,0.0,93.10666666666674
