continent,subcontinent,country,iata,country_code,region_name,icao,airport,latitude,longitude
Europe,Southern Europe,Italy,BDS,IT,Puglia,LIBR,Brindisi - Salento Airport,40.6576,17.947
Europe,Southern Europe,Italy,CAG,IT,Sardegna,LIEE,Cagliari Elmas Airport,39.2515,9.05428
Europe,Southern Europe,Italy,CTA,IT,Sicilia,LICC,Catania-Fontanarossa Airport,37.4668,15.0664
Europe,Southern Europe,Italy,CUF,IT,Piemonte,LIMZ,Cuneo International Airport,44.547,7.62322
Europe,Southern Europe,Italy,FLR,IT,Toscana,LIRQ,Florence Airport,43.81,11.2051
Europe,Southern Europe,Italy,GOA,IT,Liguria,LIMJ,Genoa Cristoforo Colombo Airport,44.4133,8.8375
Europe,Southern Europe,Italy,SUF,IT,Calabria,LICA,Lamezia Terme International Airport,38.9054,16.2423
Europe,Southern Europe,Italy,LIN,IT,Lombardia,LIML,Milan-Linate Airport,45.4494,9.2783
Europe,Southern Europe,Italy,MXP,IT,Lombardia,LIMC,Milan-Malpensa Airport,45.6306,8.72811
Europe,Southern Europe,Italy,NAP,IT,Campania,LIRN,Naples International Airport,40.886,14.2908
Europe,Southern Europe,Italy,OLB,IT,Sardegna,LIEO,Olbia Costa Smeralda Airport,40.8987,9.51763
Europe,Southern Europe,Italy,PMO,IT,Sicilia,LICJ,Falcone-Borsellino Airport (Punta Raisi Airport),38.176,13.091
Europe,Southern Europe,Italy,PMF,IT,Emilia-Romagna,LIMP,Giuseppe Verdi Parma International Airport,44.82122,10.2974
Europe,Southern Europe,Italy,PEG,IT,Umbria,LIRZ,Perugia San Francesco d'Assisi - Umbria International Airport,43.0959,12.5132
Europe,Southern Europe,Italy,PSR,IT,Abruzzo,LIBP,Abruzzo Airport,42.4317,14.1811
Europe,Southern Europe,Italy,PSA,IT,Toscana,LIRP,Pisa International Airport (Galileo Galilei Airport),43.6839,10.3927
Europe,Southern Europe,Italy,RMI,IT,Emilia-Romagna,LIPR,Federico Fellini International Airport,44.0203,12.6117
Europe,Southern Europe,Italy,FCO,IT,Lazio,LIRF,Rome–Fiumicino International Airport,41.8003,12.2389
Europe,Southern Europe,Italy,CIA,IT,Lazio,LIRA,Rome-Ciampino International Airport,41.7991,12.5929
Europe,Southern Europe,Italy,QSR,IT,Campania,LIRI,Salerno Costa d'Amalfi Airport (Pontecagnano Airport),40.6204,14.9113
Europe,Southern Europe,Italy,TPS,IT,Sicilia,LICT,Vincenzo Florio Airport,37.9114,12.488
Europe,Southern Europe,Italy,TRS,IT,Friuli-Venezia Giulia,LIPQ,Trieste - Friuli Venezia Giulia Airport,45.8275,13.4722
Europe,Southern Europe,Italy,TRN,IT,Piemonte,LIMF,Turin Airport (Caselle Airport),45.2008,7.64963
Europe,Southern Europe,Italy,VCE,IT,Veneto,LIPZ,Venice Marco Polo Airport,45.5053,12.3519
Europe,Southern Europe,Italy,VRN,IT,Veneto,LIPX,Verona Villafranca Airport,45.3957,10.8885
Europe,Southern Europe,Malta,MLA,MT,Luqa,LMML,Malta International Airport (Luqa Airport),35.8575,14.4775
Europe,Southern Europe,Portugal,BYJ,PT,Beja,LPBJ,Beja Airport,38.0789,-7.9324
Europe,Southern Europe,Portugal,FAO,PT,Faro,LPFR,Faro Airport,37.0144,-7.96591
Europe,Southern Europe,Portugal,FNC,PT,Regiao Autonoma da Madeira,LPMA,Madeira Airport,32.6979,-16.7745
Europe,Southern Europe,Portugal,LIS,PT,Lisboa,LPPT,Lisbon Portela Airport,38.7813,-9.13592
Europe,Southern Europe,Portugal,PDL,PT,Regiao Autonoma dos Acores,LPPD,Joao Paulo II Airport,37.7412,-25.6979
Europe,Southern Europe,Portugal,OPO,PT,Porto,LPPR,Francisco Sá Carneiro Airport,41.2356,-8.67806
Europe,Southern Europe,Portugal,PXO,PT,Regiao Autonoma da Madeira,LPPS,Porto Santo Airport,33.0734,-16.35
Europe,Southern Europe,Portugal,TER,PT,Regiao Autonoma dos Acores,LPLA,Lajes Field,38.7618,-27.0908
Europe,Southern Europe,Slovenia,LJU,SI,Cerklje na Gorenjskem,LJLJ,Ljubljana Joze Pucnik Airport (Brnik Airport),46.2237,14.4576
Europe,Southern Europe,Slovenia,MBX,SI,Hoce-Slivnica,LJMB,Maribor Edvard Rusjan Airport,46.4799,15.6861
Europe,Southern Europe,Slovenia,POW,SI,Piran,LJPZ,Portoroz Airport,45.4734,13.615
Europe,Southern Europe,Spain,LCG,ES,Galicia,LECO,A Coruna Airport,43.3021,-8.37726
Europe,Southern Europe,Spain,ALC,ES,"Valenciana, Comunidad",LEAL,Alicante-Elche Airport,38.2822,-0.558156
Europe,Southern Europe,Spain,LEI,ES,Andalucia,LEAM,Almeria Airport,36.8439,-2.3701
Europe,Southern Europe,Spain,OVD,ES,"Asturias, Principado de",LEAS,Asturias Airport (Oviedo Airport),43.5636,-6.03462
Europe,Southern Europe,Spain,BCN,ES,Catalunya,LEBL,Barcelona El Prat Airport,41.2971,2.07846
Europe,Southern Europe,Spain,BIO,ES,Pais Vasco,LEBB,Bilbao Airport,43.3011,-2.91061
Europe,Southern Europe,Spain,CDT,ES,"Valenciana, Comunidad",LECH,Castellon-Costa Azahar Airport,40.2139,0.073333
Europe,Southern Europe,Spain,FUE,ES,Canarias,GCFV,Fuerteventura Airport,28.4527,-13.8638
Europe,Southern Europe,Spain,GRO,ES,Catalunya,LEGE,Girona-Costa Brava Airport,41.901,2.76055
Europe,Southern Europe,Spain,LPA,ES,Canarias,GCLP,Gran Canaria Airport,27.9319,-15.3866
Europe,Southern Europe,Spain,GRX,ES,Andalucia,LEGR,Federico Garcia Lorca Airport (Granada Jaen Airport),37.1887,-3.77736
Europe,Southern Europe,Spain,HSK,ES,Aragon,LEHC,Huesca-Pirineos Airport,42.0761,-0.316667
Europe,Southern Europe,Spain,IBZ,ES,Illes Balears,LEIB,Ibiza Airport,38.8729,1.37312
Europe,Southern Europe,Spain,XRY,ES,Andalucia,LEJR,Jerez Airport (La Parra Airport),36.7446,-6.06011
Europe,Southern Europe,Spain,SPC,ES,Canarias,GCLA,La Palma Airport,28.6265,-17.7556
Europe,Southern Europe,Spain,ACE,ES,Canarias,GCRR,Lanzarote Airport,28.9455,-13.6052
Europe,Southern Europe,Spain,ILD,ES,Catalunya,LEDA,Lleida-Alguaire Airport,41.7282,0.535023
Europe,Southern Europe,Spain,MAD,ES,"Madrid, Comunidad de",LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264
Europe,Southern Europe,Spain,AGP,ES,Andalucia,LEMG,Malaga Airport,36.6749,-4.49911
Europe,Southern Europe,Spain,MAH,ES,Illes Balears,LEMH,Menorca Airport (Mahon Airport),39.8626,4.21865
Europe,Southern Europe,Spain,RMU,ES,"Murcia, Region de",LEMI,Region de Murcia International Airport,37.803,-1.125
Europe,Southern Europe,Spain,PMI,ES,Illes Balears,LEPA,Palma de Mallorca Airport,39.5517,2.73881
Europe,Southern Europe,Spain,PNA,ES,"Navarra, Comunidad Foral de",LEPP,Pamplona Airport,42.77,-1.64633
Europe,Southern Europe,Spain,REU,ES,Catalunya,LERS,Reus Airport,41.1474,1.16717
Europe,Southern Europe,Spain,SDR,ES,Cantabria,LEXJ,Santander Airport,43.4271,-3.82001
Europe,Southern Europe,Spain,SCQ,ES,Galicia,LEST,Santiago de Compostela Airport,42.8963,-8.41514
Europe,Southern Europe,Spain,SVQ,ES,Andalucia,LEZL,Seville Airport,37.418,-5.89311
